Kix,140,3,1,170,2,20,9,95,100,3,1.3,0.75,36.471512
Life,110,2,1,260,0,21,3,40,25,2,1,1.5,39.241114
Lucky Charms,100,4,2,150,2,12,6,95,25,2,1,0.67,45.328074
Maypo,110,2,1,180,0,12,12,55,25,2,1,1,26.734515
Muesli Raisins; Dates; & Almonds,100,4,1,0,0,16,3,95,25,2,1,1,54.850917
Muesli Raisins; Peaches; & Pecans,150,4,3,95,3,16,11,170,25,3,1,1,37.136863
Mueslix Crispy Blend,150,4,3,150,3,16,11,170,25,3,1,1,34.139765
Multi-Grain Cheerios,160,3,2,150,3,17,13,160,25,3,1.5,0.67,30.313351
Nut&Honey Crunch,100,2,1,220,2,15,6,90,25,1,1,1,40.105965
Nutri-Grain Almond-Raisin,120,2,1,190,0,15,9,40,25,2,1,0.67,29.924285
Nutri-grain Wheat,140,3,2,220,3,21,7,130,25,3,1.33,0.67,40.69232
Oatmeal Raisin Crisp,90,3,0,170,3,18,2,90,25,3,1,1,59.642837
Post Nat. Raisin Bran,130,3,2,170,1.5,13.5,10,120,25,3,1.25,0.5,30.450843
Product 19,120,3,1,200,6,11,14,260,25,3,1.33,0.67,37.840594
Puffed Rice,100,3,0,320,1,20,3,45,100,3,1,1,41.50354
Puffed Wheat,50,1,0,0,0,13,0,15,0,3,0.5,1,60.756112
Quaker Oat Squares,50,2,0,0,1,10,0,50,0,3,0.5,1,63.005645
Quaker Oatmeal,100,4,1,135,2,14,6,110,25,3,1,0.5,49.511874
Raisin Bran,100,5,2,0,2.7,1,1,110,0,1,1,0.67,50.828392
Raisin Nut Bran,120,3,1,210,5,14,12,240,25,2,1.33,0.75,39.259197
Raisin Squares,100,3,2,140,2.5,10.5,8,140,25,3,1,0.5,39.7034
Rice Chex,90,2,0,0,2,15,6,110,25,3,1,0.5,55.333142
Rice Krispies,110,1,0,240,0,23,2,30,25,1,1,1.13,41.998933
Shredded Wheat,110,2,0,290,0,22,3,35,25,1,1,1,40.560159
Shredded Wheat 'n'Bran,80,2,0,0,3,16,0,95,0,1,0.83,1,68.235885
Shredded Wheat spoon size,90,3,0,0,4,19,0,140,0,1,1,0.67,74.472949
Smacks,90,3,0,0,3,20,0,120,0,1,1,0.67,72.801787
Special K,110,2,1,70,1,9,15,40,25,2,1,0.75,31.230054
Strawberry Fruit Wheats,110,6,0,230,1,16,3,55,25,1,1,1,53.131324
Total Corn Flakes,90,2,0,15,3,15,5,90,25,2,1,1,59.363993
Total Raisin Bran,110,2,1,200,0,21,3,35,100,3,1,1,38.839746
Total Whole Grain,140,3,1,190,4,15,14,230,100,3,1.5,1,28.592785
Triples,100,3,1,200,3,16,3,110,100,3,1,1,46.658844
Trix,110,2,1,250,0,21,3,60,25,3,1,0.75,39.106174
Wheat Chex,110,1,1,140,0,13,12,25,25,2,1,1,27.753301
Wheaties,100,3,1,230,3,17,3,115,25,1,1,0.67,49.787445
Wheaties Honey Gold,100,3,1,200,3,17,3,110,25,1,1,1,51.592193
,110,2,1,200,1,16,8,60,25,1,1,0.75,36.187559
